1,Алина,Пушная,30,Новосибирск,+7 (913) 951-47-96,nastasya3081@rambler.ru,06.01.1981
2,Настасья,Юдицкая,41,Новосибирск,+7 (913) 951-47-96,nastasya3081@rambler.ru,06.01.1981
3,Вера,Яременко,50,Новосибирск,+7 (925) 742-26-28,vera23021972@outlook.com,23.02.1972
4,Афанасия,Яцевич,45,Новосибирск,+7 (955) 811-65-38,afanasiya1977@ya.ru,27.08.1977
5,Трофим,Данильцин,44,Новосибирск,+7 (997) 326-42-13,trofim55@mail.ru,19.05.1978
6,Павел,Хромченко,33,Новосибирск,+7 (981) 412-92-41,pavel1989@rambler.ru,07.06.1989
7,Сюзанна,Солодских,36,Новосибирск,+7 (990) 311-54-24,syuzanna8709@yandex.ru,02.02.1986
8,Ирина,Талалина,36,Новосибирск,+7 (945) 268-39-41,irina.talalina@rambler.ru,16.08.1986
9,Надежда,Пугачева,61,Новосибирск,+7 (952) 463-79-83,nadejda.pugacheva@outlook.com,21.10.1961
10,Виктор,Няшин,61,Новосибирск,+7 (967) 407-37-65,viktor.nyashin@rambler.ru,01.07.2004
